Type,Name,Strategy,TICK_Score,Sector,Min,Max,Avg,Current,1-1-2025,1-31-2025,2-28-2025,3-31-2025,4-30-2025,5-31-2025,6-30-2025,7-31-2025,8-31-2025,9-30-2025,10-31-2025,11-30-2025,12-31-2025
Security,MELI,Growth,36,Consumer Discretionary,9.00%,13.00%,11.08%,11.08%,11.00%,,10.50%,,11.08%,,11.50%,,12.00%,,11.08%,,10.50%
Security,NTDOY,Growth,36,Communication Services,8.00%,14.00%,11.08%,11.08%,13.50%,,13.00%,,12.50%,,11.00%,,10.00%,,11.08%,,11.50%
Security,AGM,Growth,30,Financials,7.00%,12.00%,9.23%,9.23%,11.89%,,11.50%,,10.50%,,9.50%,,8.50%,,9.23%,,9.50%
Security,HDSN,Growth,20,Industrials,3.00%,7.00%,6.15%,6.15%,3.71%,,4.00%,,5.00%,,6.00%,,7.00%,,6.15%,,5.50%
Security,VCISY,Growth,25,Industrials,8.00%,11.00%,9.50%,9.23%,10.34%,,10.00%,,9.00%,,9.50%,,10.50%,,9.23%,,9.00%
Vertical,Infrastructure,Growth,,,15.00%,25.00%,20.00%,21.54%,20.00%,,21.00%,,18.00%,,22.00%,,24.00%,,22.00%,,21.54%
Vertical,Innovation,Growth,,,35.00%,60.00%,45.00%,59.34%,45.00%,,44.00%,,48.00%,,48.00%,,44.00%,,45.00%,,59.34%
Vertical,Lending,Growth,,,10.00%,21.00%,15.00%,12.92%,15.00%,,16.00%,,14.00%,,14.00%,,16.00%,,16.00%,,12.92%
Vertical,Real Estate,Growth,,,1.00%,15.00%,10.00%,6.16%,10.00%,,9.00%,,11.00%,,11.00%,,9.00%,,9.00%,,6.16%
Cash,Cash,Growth,,,0.00%,10.00%,0.93%,0.93%,10.00%,,10.00%,,9.00%,,5.00%,,7.00%,,8.00%,,0.93%
Performance,Monthly_Return,Growth,,,-8.50%,12.30%,2.15%,3.50%,,2.50%,2.65%,3.05%,2.15%,2.25%,2.35%,3.15%,1.55%,2.05%,1.72%,2.43%,3.50%
Performance,Holdings_Count,Growth,,,15,30,25,25,,22,23,24,25,26,27,28,27,26,25,25,24
Performance,Turnover,Growth,,,2.00%,15.00%,8.50%,6.20%,,12.00%,10.50%,9.00%,8.50%,8.00%,7.50%,8.00%,8.50%,9.00%,8.50%,7.00%,6.20%
Security,VFIAX,Income,45,Funds,40.00%,60.00%,50.00%,50.00%,50.00%,,52.00%,,50.00%,,49.00%,,50.00%,,50.00%,,50.00%
Security,AGG,Income,40,Funds,30.00%,45.00%,35.00%,35.00%,35.00%,,33.00%,,35.00%,,36.00%,,35.00%,,35.00%,,35.00%
Cash,Cash,Income,,,0.00%,15.00%,5.00%,5.00%,15.00%,,15.00%,,15.00%,,15.00%,,15.00%,,15.00%,,15.00%
Performance,Monthly_Return,Income,,,-3.00%,4.50%,1.02%,1.25%,,1.00%,1.00%,1.00%,1.45%,1.35%,1.25%,1.35%,1.45%,1.00%,0.85%,0.65%,1.25%
Performance,Holdings_Count,Income,,,8,20,15,15,,14,14,15,15,16,16,15,15,15,15,15,15
Security,VTIAX,Diversification,40,Funds,30.00%,40.00%,35.00%,35.00%,35.00%,,34.00%,,35.00%,,35.00%,,36.00%,,35.00%,,35.00%
Security,VFIAX,Diversification,45,Funds,35.00%,45.00%,40.00%,40.00%,40.00%,,41.00%,,40.00%,,40.00%,,39.00%,,40.00%,,40.00%
Security,BND,Diversification,35,Funds,20.00%,30.00%,25.00%,25.00%,25.00%,,25.00%,,25.00%,,25.00%,,25.00%,,25.00%,,25.00%
Performance,Monthly_Return,Diversification,,,-4.00%,6.00%,1.30%,1.85%,,1.50%,1.45%,1.55%,1.45%,1.95%,1.85%,1.95%,1.45%,1.00%,1.05%,1.00%,1.85%
Performance,Holdings_Count,Diversification,,,5,12,8,8,,8,8,8,8,8,8,8,8,8,8,8,8